Times	Tissue-specific mutated genes	Subnetwork member genes	Tissue
31	RYR2	ADIPOQ|ATP6V1C1|ACTA1|RYR1|KLHL41|IFNG|DAB2|RPTOR|ARPC3|FKBP1A|TNNT1|MYOZ1|SOD1|AKT1|HIST1H4A|CAPZA2|PIN1|KLHL40|TGFBR1|PRKG1|MYOT|C10orf71|PPIA|RYR2|NR1H4|MDM2|S100A1|MYH7|TRDN|FGF10|MTOR|AKAP6|PSMF1|TCAP|TTN|TGFB1|BCL2|GLMN|ITGB2|CAV3|SNRPB2	Skin
32	RYR2	ADIPOQ|ATP6V1C1|ACTA1|RYR1|KLHL41|IFNG|DAB2|RPTOR|ARPC3|FKBP1A|TNNT1|MYOZ1|SOD1|AKT1|HIST1H4A|CAPZA2|PIN1|KLHL40|TGFBR1|PRKG1|MYOT|C10orf71|IL2|PPIA|RYR2|NR1H4|MDM2|S100A1|MYH7|TRDN|FGF10|MTOR|AKAP6|PSMF1|TCAP|TTN|TGFB1|BCL2|GLMN|ITGB2|CAV3|SNRPB2	Skin
33	RYR2	ADIPOQ|ATP6V1C1|ACTA1|RYR1|KLHL41|IFNG|DAB2|RPTOR|ARPC3|FKBP1A|TNNT1|MYOZ1|SOD1|AKT1|HIST1H4A|CAPZA2|PIN1|PSMA4|KLHL40|TGFBR1|PRKG1|MYOT|C10orf71|IL2|PPIA|RYR2|NR1H4|MDM2|S100A1|MYH7|TRDN|FGF10|MTOR|AKAP6|PSMF1|TCAP|TTN|TGFB1|BCL2|GLMN|ITGB2|CAV3|SNRPB2	Skin
34	RYR2	ADIPOQ|ATP6V1C1|ACTA1|RYR1|KLHL41|IFNG|DAB2|RPTOR|ARPC3|FKBP1A|TNNT1|MYOZ1|SOD1|AKT1|HIST1H4A|CAPZA2|PIN1|PSMA4|KLHL40|TGFBR1|PRKG1|MYOT|C10orf71|IL2|PPIA|RYR2|NR1H4|MDM2|S100A1|MYH7|TRDN|FGF10|TNNC1|MTOR|AKAP6|PSMF1|TCAP|TTN|TGFB1|BCL2|GLMN|ITGB2|CAV3|SNRPB2	Skin
35	RYR2	ADIPOQ|ATP6V1C1|ACTA1|RYR1|KLHL41|IFNG|DAB2|RPTOR|CSRP3|ARPC3|FKBP1A|TNNT1|MYOZ1|SOD1|AKT1|HIST1H4A|CAPZA2|PIN1|PSMA4|KLHL40|TGFBR1|PRKG1|MYOT|C10orf71|IL2|PPIA|RYR2|NR1H4|MDM2|S100A1|MYH7|TRDN|FGF10|TNNC1|MTOR|AKAP6|PSMF1|TCAP|TTN|TGFB1|BCL2|GLMN|ITGB2|CAV3|SNRPB2	Skin
36	RYR2	ADIPOQ|ATP6V1C1|ACTA1|RYR1|KLHL41|IFNG|DAB2|RPTOR|CSRP3|ARPC3|FKBP1A|TNNT1|MYOZ1|SOD1|AKT1|HIST1H4A|CAPZA2|PIN1|PSMA4|KLHL40|TGFBR1|PRKG1|MYOT|C10orf71|IL2|PPIA|RYR2|NR1H4|MDM2|S100A1|MYH7|TRDN|FGF10|TNNC1|MTOR|AKAP6|PSMF1|TCAP|TTN|TGFB1|BCL2|GLMN|ITGB2|CAV3|SNRPB2	Skin
37	RYR2	ADIPOQ|ATP6V1C1|ACTA1|RYR1|KLHL41|IFNG|DAB2|RPTOR|CSRP3|ARPC3|FKBP1A|TNNT1|MYOZ1|SOD1|AKT1|HIST1H4A|CAPZA2|PIN1|PSMA4|KLHL40|TGFBR1|PRKG1|C10orf71|IL2|PPIA|RYR2|NR1H4|MDM2|S100A1|MYH7|TRDN|FGF10|TNNC1|MTOR|AKAP6|PSMF1|TCAP|TTN|TGFB1|BCL2|GLMN|ITGB2|CAV3|SNRPB2	Skin
38	RYR2	ADIPOQ|ATP6V1C1|ACTA1|RYR1|KLHL41|IFNG|DAB2|RPTOR|CSRP3|ARPC3|FKBP1A|TNNT1|MYOZ1|SOD1|AKT1|HIST1H4A|CAPZA2|PIN1|PSMA4|CKM|KLHL40|TGFBR1|PRKG1|C10orf71|IL2|PPIA|RYR2|NR1H4|MDM2|S100A1|MYH7|TRDN|FGF10|TNNC1|MTOR|AKAP6|PSMF1|TCAP|TTN|TGFB1|BCL2|GLMN|ITGB2|CAV3|SNRPB2	Skin
39	RYR2	ADIPOQ|ATP6V1C1|ACTA1|RYR1|KLHL41|IFNG|DAB2|RPTOR|CSRP3|ARPC3|PLCG1|FKBP1A|TNNT1|MYOZ1|SOD1|AKT1|HIST1H4A|CAPZA2|PIN1|PSMA4|CKM|KLHL40|TGFBR1|PRKG1|C10orf71|IL2|PPIA|RYR2|NR1H4|MDM2|S100A1|MYH7|TRDN|FGF10|TNNC1|MTOR|AKAP6|PSMF1|TCAP|TTN|TGFB1|BCL2|GLMN|ITGB2|CAV3|SNRPB2	Skin
40	RYR2	ADIPOQ|ATP6V1C1|ACTA1|RYR1|KLHL41|IFNG|DAB2|RPTOR|CSRP3|ARPC3|PLCG1|FKBP1A|TNNT1|MYOZ1|SOD1|AKT1|HIST1H4A|CAPZA2|PIN1|PSMA4|CKM|KLHL40|TGFBR1|PRKG1|IL2|PPIA|RYR2|NR1H4|MDM2|S100A1|MYH7|TRDN|FGF10|TNNC1|MTOR|AKAP6|PSMF1|TCAP|TTN|TGFB1|BCL2|GLMN|ITGB2|CAV3|SNRPB2	Skin
