Times	Conductance score	Conductance score difference	Probability	Random number	Temperature	P value	Number of subnetwork members	Rotation decision	Tissue	Tissue-specific mutated genes
117	0.9737609329446064	0.0001408612600185	0.9940281877687062	0.1786809380119365	0.0235171897916693	8.559344755162439e-06	51	apply	Skin	GNAQ
118	0.9686689091782796	-0.0050920237663267	1.2559841547354444	0.7944256218630857	0.0223413303020858	7.902286439413995e-06	50	apply	Skin	GNAQ
119	0.9677605066206102	-0.0009084025576694	1.0437293281775746	0.5619550337553402	0.0212242637869815	9.255887408067531e-06	52	apply	Skin	GNAQ
120	0.9685069611137782	0.000746454493168	0.9636559845341028	0.9158667527852404	0.0201630505976325	8.559344755162439e-06	51	apply	Skin	GNAQ
121	0.970080108097674	0.0015731469838957	0.921154355275746	0.7620275087513675	0.0191548980677508	7.902286439413995e-06	50	apply	Skin	GNAQ
122	0.968702290076336	-0.001377818021338	1.0786563329178738	0.6911668339393722	0.0181971531643633	1.8185123248190685e-07	51	apply	Skin	GNAQ
123	0.9654583412412222	-0.0032439488351136	1.2064103484701103	0.4035962351209547	0.0172872955061451	2.0083291714697345e-07	52	apply	Skin	GNAQ
124	0.965650969529086	0.0001926282878637	0.9883392919088912	0.3143581929641524	0.0164229307308379	2.213516043370754e-07	53	apply	Skin	GNAQ
125	0.9642298670836592	-0.0014211024454268	1.0953630852181444	0.9280345261751856	0.015601784194296	2.0083291714697345e-07	52	apply	Skin	GNAQ
126	0.9640730067243036	-0.0001568603593555	1.0106393590284597	0.0940311471065459	0.0148216949845812	2.213516043370754e-07	53	apply	Skin	GNAQ
127	0.9648178410074018	0.0007448342830982	0.9484768759272856	0.3490338614323374	0.0140806102353521	2.0083291714697345e-07	52	apply	Skin	GNAQ
128	0.9657754010695188	0.000957560062117	0.930917313116525	0.8823006273562419	0.0133765797235845	2.213516043370754e-07	53	apply	Skin	GNAQ
129	0.9669908109554822	0.0012154098859634	0.9087882181084962	0.5729142772146915	0.0127077507374053	2.0083291714697345e-07	52	apply	Skin	GNAQ
130	0.969371305749597	0.0023804947941147	0.8210383288037213	0.7802711790755615	0.012072363200535	1.8185123248190685e-07	51	apply	Skin	GNAQ
131	0.970221544533142	0.000850238783545	0.928546058781478	0.4351254978362744	0.0114687450405082	1.481562712523435e-07	49	apply	Skin	GNAQ
132	0.9691718192110076	-0.0010497253221344	1.1011405987126053	0.7187094802533459	0.0108953077884828	1.6432011323226638e-07	50	apply	Skin	GNAQ
133	0.9666999002991028	-0.0024719189119049	1.2697502525146898	0.3387691767175456	0.0103505423990587	1.481562712523435e-07	49	apply	Skin	GNAQ
134	0.966728280961183	2.838066208032952e-05	0.9971178988709876	0.5909673642675526	0.0098330152791057	1.332795210009653e-07	48	apply	Skin	GNAQ
135	0.9623792577529232	-0.0043490232082598	1.59291577914197	0.6167974280877238	0.0093413645151505	1.481562712523435e-07	49	apply	Skin	GNAQ
136	0.9609993906154785	-0.0013798671374448	1.1682306232790989	0.356155956947888	0.0088742962893929	1.6432011323226638e-07	50	apply	Skin	GNAQ
137	0.9595100718696224	-0.0014893187458558	1.1932213960471605	0.2450987576734197	0.0084305814749233	3.0338161563730533e-09	51	apply	Skin	GNAQ
138	0.9594202898550724	-8.978201455001056e-05	1.0112731353136348	0.6887204144740133	0.0080090524011771	3.4233965839543543e-09	52	apply	Skin	GNAQ
139	0.9600722311396468	0.0006519412845744	0.9178835104647284	0.7286071934354003	0.0076085997811183	3.0338161563730533e-09	51	apply	Skin	GNAQ
140	0.9596830809347108	-0.0003891502049362	1.055313627450845	0.2177118759996189	0.0072281697920623	3.4233965839543543e-09	52	apply	Skin	GNAQ
141	0.960361108228702	0.0006780272939912	0.9059777985979072	0.7560488806299306	0.0068667613024592	3.0338161563730533e-09	51	apply	Skin	GNAQ
142	0.9622641509433962	0.0019030427146943	0.7469742609748586	0.5845319590880584	0.0065234232373363	2.681693422298165e-09	50	apply	Skin	GNAQ
143	0.9675554127850948	0.0052912618416984	0.4257905379697083	0.1661369220347169	0.0061972520754694	3.4233965839543543e-09	52	apply	Skin	GNAQ
144	0.967397414277684	-0.0001579985074106	1.027200117503227	0.4049939847777418	0.005887389471696	3.853520169032734e-09	53	apply	Skin	GNAQ
145	0.9656803784780692	-0.001717035799615	1.3593357816045577	0.9402730316907756	0.0055930199981112	4.327454807210273e-09	54	apply	Skin	GNAQ
146	0.9674035823785704	0.0017232039005011	0.723022640332603	0.6538022690050165	0.0053133689982056	3.853520169032734e-09	53	apply	Skin	GNAQ
147	0.964212868533284	-0.0031907138452863	1.8815809380188149	0.7594684302035479	0.0050477005482953	3.4233965839543543e-09	52	apply	Skin	GNAQ
148	0.9674035823785704	0.0031907138452863	0.5140774114745372	0.2387191780206659	0.0047953155208806	3.853520169032734e-09	53	apply	Skin	GNAQ
149	0.9666263603385732	-0.000777222039997	1.1860280292333474	0.1663503336950177	0.0045555497448365	4.327454807210273e-09	54	apply	Skin	GNAQ
150	0.9669408159974198	0.0003144556588465	0.9299170067889236	0.7062116310077706	0.0043277722575947	3.853520169032734e-09	53	apply	Skin	GNAQ
151	0.9661754046871224	-0.0007654113102972	1.2046255696059027	0.7016942113271133	0.004111383644715	4.327454807210273e-09	54	apply	Skin	GNAQ
152	0.9664813471920072	0.0003059425048845	0.9246592249015482	0.5511286160979756	0.0039058144624792	3.853520169032734e-09	53	apply	Skin	GNAQ
153	0.965867010143294	-0.0006143370487129	1.1800609953196532	0.9011956322826384	0.0037105237393552	4.327454807210273e-09	54	apply	Skin	GNAQ
154	0.9652621421678996	-0.0006048679753944	1.1871955807768293	0.9293583181702048	0.0035249975523875	4.8486574548900545e-09	55	apply	Skin	GNAQ
155	0.9674246089340428	0.0021624667661432	0.5242671645098301	0.8528589232220882	0.0033487476747681	4.327454807210273e-09	55	refuse	Skin	GNAQ
156	0.9656980227681248	0.000435880600225	0.871958963686586	0.7729946592565518	0.0031813102910297	5.4207808421602765e-09	56	apply	Skin	GNAQ
157	0.9659116733580788	0.0002136505899542	0.931748190801498	0.3843849033716855	0.0030222447764782	4.8486574548900545e-09	55	apply	Skin	GNAQ
158	0.9645627500612396	-0.0013489232968394	1.5997105705621408	0.7903967958758572	0.0028711325376543	4.327454807210273e-09	54	apply	Skin	GNAQ
159	0.9692121538047862	0.0046494037435467	0.1818465866644177	0.3455595176048779	0.0027275759107716	4.8486574548900545e-09	54	refuse	Skin	GNAQ
160	0.9635446334119944	-0.001018116649245	1.4812904359751875	0.7546849152246206	0.002591197115233	7.096651888543735e-11	55	apply	Skin	GNAQ
