Times	Conductance score	Conductance score difference	Probability	Random number	Temperature	P value	Number of subnetwork members	Rotation decision	Tissue	Tissue-specific mutated genes
3699	0.7974248927038626	0.0130382756034909	0.0	0.2077180796334046	3.778675247455458e-82	0.0001164727904049	36	refuse	Skin	BRAF
3700	0.7960242005185826	0.0116375834182108	0.0	0.9530870053411375	3.589741485082685e-82	0.0001164727904049	36	refuse	Skin	BRAF
3701	0.8245614035087719	0.0401747864084002	0.0	0.17262602641917	3.4102544108285504e-82	0.0001164727904049	36	refuse	Skin	BRAF
3702	0.8395225464190982	0.0551359293187264	0.0	0.8451916159257462	3.2397416902871226e-82	0.0001262343161372	36	refuse	Skin	BRAF
3703	0.8590203106332138	0.0746336935328421	0.0	0.2259867701494391	3.0777546057727656e-82	0.0001164727904049	36	refuse	Skin	BRAF
3704	0.8805220883534136	0.0961354712530419	0.0	0.070932730863078	2.923866875484128e-82	0.0001164727904049	36	refuse	Skin	BRAF
3705	0.7967479674796748	0.012361350379303	0.0	0.6376071610748699	2.7776735317099215e-82	9.845514811635291e-05	36	refuse	Skin	BRAF
3706	0.7883597883597884	0.0039731712594166	0.0	0.4708817950958556	2.6387898551244246e-82	0.0001164727904049	36	refuse	Skin	BRAF
3707	0.7954545454545454	0.0110679283541736	0.0	0.7434794291884547	2.506850362368204e-82	0.0001164727904049	36	refuse	Skin	BRAF
3708	0.9390334572490706	0.1546468401486989	0.0	0.1164751343212731	2.381507844249793e-82	0.0001164727904049	36	refuse	Skin	BRAF
3709	0.7884796978281398	0.004093080727768	0.0	0.6362543419967884	2.262432452037304e-82	9.845514811635291e-05	36	refuse	Skin	BRAF
3710	0.845042678923178	0.0606560618228062	0.0	0.0073652987396789	2.1493108294354385e-82	2.320056157033859e-06	36	refuse	Skin	BRAF
3711	0.7893719806763285	0.0049853635759568	0.0	0.8122219747286472	2.0418452879636663e-82	9.845514811635291e-05	36	refuse	Skin	BRAF
3712	0.794344473007712	0.0099578559073403	0.0	0.7989481384040277	1.9397530235654828e-82	0.0001164727904049	36	refuse	Skin	BRAF
3713	0.7889087656529516	0.0045221485525799	0.0	0.3464544770871925	1.8427653723872088e-82	0.0001164727904049	36	refuse	Skin	BRAF
3714	0.7954545454545454	0.0110679283541736	0.0	0.987415119407242	1.7506271037678483e-82	0.0001164727904049	36	refuse	Skin	BRAF
3715	0.9508107123337584	0.1664240952333867	0.0	0.6254438875993173	1.6630957485794557e-82	0.0001164727904049	36	refuse	Skin	BRAF
3716	0.7874762808349146	0.0030896637345428	0.0	0.2479114614807219	1.579940961150483e-82	9.845514811635291e-05	36	refuse	Skin	BRAF
3717	0.7954545454545454	0.0110679283541736	0.0	0.6375385339509893	1.5009439130929586e-82	0.0001164727904049	36	refuse	Skin	BRAF
3718	0.7867924528301887	0.002405835729817	0.0	0.4288824843489024	1.4258967174383106e-82	9.845514811635291e-05	36	refuse	Skin	BRAF
3719	0.8395225464190982	0.0551359293187264	0.0	0.7635206581156054	1.3546018815663948e-82	0.0001262343161372	36	refuse	Skin	BRAF
3720	0.7844660194174757	7.940231710401591e-05	0.0	0.2437726804977229	1.2868717874880753e-82	9.845514811635291e-05	36	refuse	Skin	BRAF
3721	0.7870791628753412	0.0026925457749694	0.0	0.6060079692653936	1.2225281981136714e-82	0.0001164727904049	36	refuse	Skin	BRAF
3722	0.7889822595704948	0.0045956424701231	0.0	0.0982450074880061	1.1614017882079878e-82	9.845514811635291e-05	36	refuse	Skin	BRAF
3723	0.8006042296072508	0.016217612506879	0.0	0.5223828987464512	1.1033316987975884e-82	9.845514811635291e-05	36	refuse	Skin	BRAF
3724	0.8089887640449438	0.024602146944572	0.0	0.4706681733664316	1.048165113857709e-82	0.0001164727904049	36	refuse	Skin	BRAF
3725	0.9390334572490706	0.1546468401486989	0.0	0.6304082967670087	9.957568581648236e-83	0.0001164727904049	36	refuse	Skin	BRAF
3726	0.8716693855356172	0.0872827684352455	0.0	0.1325458759223752	9.459690152565824e-83	0.0001164727904049	36	refuse	Skin	BRAF
3727	0.789103690685413	0.0047170735850412	0.0	0.8716139200278092	8.986705644937531e-83	0.0001164727904049	36	refuse	Skin	BRAF
3728	0.7931638913234005	0.0087772742230287	0.0	0.5585587791479935	8.537370362690654e-83	0.0001164727904049	36	refuse	Skin	BRAF
3729	0.7924345295829291	0.0080479124825574	0.0	0.7985367318474077	8.110501844556121e-83	0.0030945865274428	36	refuse	Skin	BRAF
3730	0.7961538461538461	0.0117672290534743	0.0	0.0141134463796884	7.704976752328315e-83	9.017436243919952e-05	36	refuse	Skin	BRAF
3731	0.9508107123337584	0.1664240952333867	0.0	0.407823158670768	7.319727914711899e-83	0.0001164727904049	36	refuse	Skin	BRAF
3732	0.7870791628753412	0.0026925457749694	0.0	0.2670583442007178	6.953741518976304e-83	0.0001164727904049	36	refuse	Skin	BRAF
3733	0.7867924528301887	0.002405835729817	0.0	0.4070528312656206	6.606054443027489e-83	9.845514811635291e-05	36	refuse	Skin	BRAF
